index,country,name,full_name,symbol,currency,class,market
0,china,MSCI China Price HKD,MSCI China Price HKD,MICN00000PHK,HKD,other_indices,global_indices
1,china,MSCI China A NR USD,MSCI China A NR USD,MICNA0000NUS,USD,other_indices,global_indices
2,china,AlphaShares China All Cap,AlphaShares China All Cap,ACNAC,USD,other_indices,global_indices
3,china,AlphaShares China Technology,AlphaShares China Technology,ACNIT,USD,other_indices,global_indices
4,china,S Box China Energy TR,S-Box China Energy TR,CHIE,EUR,other_indices,global_indices
5,china,S Box China Industrial TR,S-Box China Industrials TR,CHII,EUR,other_indices,global_indices
6,china,S Box China Consumer TR,S-Box China Consumer TR,CHIQ,EUR,other_indices,global_indices
7,china,CSI Overseas China Internet USD,CSI Overseas China Internet USD,H11137,USD,other_indices,global_indices
8,china,HSCEIF 3XL,HSCEI Futures Long x3,X000,HKD,other_indices,global_indices
9,china,HSIF 4XS,HSI Futures Short x4,X00X,HKD,other_indices,global_indices
10,china,HSCEIF 4XL,HSCEI Futures Long x4,X040,HKD,other_indices,global_indices
11,china,HSIF 1XL,HSI Futures Long x1,X04V,HKD,other_indices,global_indices
12,china,HSIF 2XL,HSI Futures Long x2,X04W,HKD,other_indices,global_indices
13,china,HSIF 1XS,HSI Futures Short x1,X04X,HKD,other_indices,global_indices
14,china,HSIF 2XS,HSI Futures Short x2,X04Y,HKD,other_indices,global_indices
15,china,HSIF 3XS,HSI Futures Short x3,X04Z,HKD,other_indices,global_indices
16,china,CSI Overseas China 5y Plan USD,CSI Overseas China Five Year Plan USD,H11161,USD,other_indices,global_indices
17,china,China Securities 300 Consumer Disc,China Securities 300 Consumer Disc,CSI300CD,CNY,other_indices,global_indices
18,china,DJ China Offshore 50,DJ China Offshore 50,DJCHOS50,USD,other_indices,global_indices
19,china,CSI 300 Net TR USD,CSI 300 Net TR USD,CSIID301,USD,other_indices,global_indices
20,china,DJ Shenzhen,Dow Jones Shenzhen,DJSZ,CNY,additional_indices,global_indices
21,china,DJ Shanghai,Dow Jones Shanghai,DJSH,CNY,additional_indices,global_indices
22,china,BNY Mellon China Select ADRSM,BNY Mellon China Select ADRSM,BKTCN,USD,additional_indices,global_indices
23,china,HSCEIF 3XS,HSCEI Futures 3xShort,X0C0,HKD,other_indices,global_indices
24,china,BNY Mellon China ADR,BNY Mellon China ADR,BKCN,USD,additional_indices,global_indices
25,china,BNY Mellon China Classic ADR,BNY Mellon China Classic ADR,BKCCN,USD,additional_indices,global_indices
26,china,BNY Mellon China xià yī dài ADR,BNY Mellon China xià yī dài ADR,BKXYD,USD,additional_indices,global_indices
27,china,DJ China Offshore 50 Tot,DJ China Offshore 50 Tot,DJCOS50N,USD,other_indices,global_indices
28,china,BNY Mellon China ADR TR,BNY Mellon China ADR Total Return,BKCNT,USD,additional_indices,global_indices
29,china,BNY Mellon China Select ADR TRSM,BNY Mellon China Select ADR Total ReturnSM,BKTCNT,USD,additional_indices,global_indices
